track__artists__name,track__name,track__preview_url
Buffalo Springfield,For What It's Worth,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a?cid=774b29d4f13844c495f206cafdad9c86
Ace of Base,All That She Wants,https://p.scdn.co/mp3-preview/ac41624323eaeb9f3f7b2c5ec585790cb1f9c8a8?cid=774b29d4f13844c495f206cafdad9c86
Amy Winehouse,Back To Black,https://p.scdn.co/mp3-preview/c957f5b473f09e3f003f185f16e0b12be2a5e1b5?cid=774b29d4f13844c495f206cafdad9c86
Shakira,Hips Don't Lie,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=774b29d4f13844c495f206cafdad9c86
Gnarls Barkley,Crazy,https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=774b29d4f13844c495f206cafdad9c86
Miley Cyrus,Party In The U.S.A.,https://p.scdn.co/mp3-preview/64e5d7979445e8402011934fe1c201675f1c210e?cid=774b29d4f13844c495f206cafdad9c86
Britney Spears,Toxic,https://p.scdn.co/mp3-preview/8465386fd6ce10f7ae3bd9c907825d7cb955ade0?cid=774b29d4f13844c495f206cafdad9c86
Justin Timberlake,SexyBack,https://p.scdn.co/mp3-preview/e4ff7d627759f7c67e5814ddd821ba6b507136da?cid=774b29d4f13844c495f206cafdad9c86
Blu Cantrell,Hit 'Em up Style (Oops!),https://p.scdn.co/mp3-preview/b45731b31c5ad4490f954e42954f593d3ed4bb54?cid=774b29d4f13844c495f206cafdad9c86
OutKast,Hey Ya! - Radio Mix / Club Mix,https://p.scdn.co/mp3-preview/e40ad9c8016efc1f25a291f3b0aea58d691948b5?cid=774b29d4f13844c495f206cafdad9c86
Kesha,TiK ToK,https://p.scdn.co/mp3-preview/8ab0eb630a60787224163576736647620b6d98c8?cid=774b29d4f13844c495f206cafdad9c86
Rihanna,Don't Stop The Music,https://p.scdn.co/mp3-preview/aa719043509d8d1fb4b4ad30629c86d2615d06fd?cid=774b29d4f13844c495f206cafdad9c86
Katy Perry,I Kissed A Girl,https://p.scdn.co/mp3-preview/29414f20ba1659e9f54612e358d881861aa90c2d?cid=774b29d4f13844c495f206cafdad9c86
Destiny's Child,Survivor,https://p.scdn.co/mp3-preview/c48860e5c7ce2f6a312b6bc4efd16de85ec49216?cid=774b29d4f13844c495f206cafdad9c86
Jason Mraz,I'm Yours,https://p.scdn.co/mp3-preview/29daf77094a5d8bb84eaaffdf51b665834970bea?cid=774b29d4f13844c495f206cafdad9c86
Jordin Sparks,No Air,https://p.scdn.co/mp3-preview/3fdf0096af650a0ab38749a07a6f879bbb903822?cid=774b29d4f13844c495f206cafdad9c86
Nelly,Dilemma,https://p.scdn.co/mp3-preview/1f19df644757aff5c887881620611c24713c4809?cid=774b29d4f13844c495f206cafdad9c86
Adele,Make You Feel My Love,https://p.scdn.co/mp3-preview/49d5d0ada7a36e4320330ecc26082b6a569df339?cid=774b29d4f13844c495f206cafdad9c86
Usher,U Remind Me,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=774b29d4f13844c495f206cafdad9c86
Gwen Stefani,Hollaback Girl,https://p.scdn.co/mp3-preview/10d17836747a13d17cf73a570fd7ff094482a12f?cid=774b29d4f13844c495f206cafdad9c86
*NSYNC,Bye Bye Bye,https://p.scdn.co/mp3-preview/77bebc1b16038e9815ffa63d91492bc3b7b8d5a6?cid=774b29d4f13844c495f206cafdad9c86
Rihanna,Umbrella,https://p.scdn.co/mp3-preview/d2f6c09abf795c6842cab7e60310cd7cd10898c5?cid=774b29d4f13844c495f206cafdad9c86
John Legend,Ordinary People,https://p.scdn.co/mp3-preview/9dec46f2a5152cfaed32c29160d22bb29268f8be?cid=774b29d4f13844c495f206cafdad9c86
Daft Punk,One More Time - Short Radio Edit,https://p.scdn.co/mp3-preview/9bffd7dda9b9b9c72f9404591167f40fd857b459?cid=774b29d4f13844c495f206cafdad9c86
MGMT,Kids,https://p.scdn.co/mp3-preview/6a749da38e969dca948f36139f976b594db38f5d?cid=774b29d4f13844c495f206cafdad9c86
Santana,Maria Maria (feat. The Product G&B) - Radio Edit,https://p.scdn.co/mp3-preview/c349f20a13515fd8df51f08bfcf0f8a2e6675cda?cid=774b29d4f13844c495f206cafdad9c86
Natasha Bedingfield,Unwritten,https://p.scdn.co/mp3-preview/54cf4f47feb840242695d20e560efaa2990d5f6a?cid=774b29d4f13844c495f206cafdad9c86
Destiny's Child,Bootylicious,https://p.scdn.co/mp3-preview/7e327ccb1e4c52b2e759c8f9f4b7eb19f4e82d81?cid=774b29d4f13844c495f206cafdad9c86
Britney Spears,Oops!...I Did It Again,https://p.scdn.co/mp3-preview/507a3f678f015d1d67893d4f35eb38904ca5ece8?cid=774b29d4f13844c495f206cafdad9c86
Kelly Clarkson,Since U Been Gone,https://p.scdn.co/mp3-preview/620bf0eecfb629e4bcd9feac1dd61e3bac66e654?cid=774b29d4f13844c495f206cafdad9c86
Dido,White Flag,https://p.scdn.co/mp3-preview/670fb3dc6a27da86b80e0816c15d474f96e5ff1a?cid=774b29d4f13844c495f206cafdad9c86
